product_id,product_name,category,age_group,skin_condition,flag,risk,reason
mk06,Flawless Wear Foundation - Vanilla,foundation,teen,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk06,Flawless Wear Foundation - Vanilla,foundation,teen,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk06,Flawless Wear Foundation - Vanilla,foundation,teen,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk06,Flawless Wear Foundation - Vanilla,foundation,teen,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk06,Flawless Wear Foundation - Vanilla,foundation,teen,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk06,Flawless Wear Foundation - Vanilla,foundation,teen,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk06,Flawless Wear Foundation - Vanilla,foundation,adult,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk06,Flawless Wear Foundation - Vanilla,foundation,adult,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk06,Flawless Wear Foundation - Vanilla,foundation,adult,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk06,Flawless Wear Foundation - Vanilla,foundation,adult,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk06,Flawless Wear Foundation - Vanilla,foundation,adult,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk06,Flawless Wear Foundation - Vanilla,foundation,adult,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk06,Flawless Wear Foundation - Vanilla,foundation,mature,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk06,Flawless Wear Foundation - Vanilla,foundation,mature,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk06,Flawless Wear Foundation - Vanilla,foundation,mature,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk06,Flawless Wear Foundation - Vanilla,foundation,mature,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk06,Flawless Wear Foundation - Vanilla,foundation,mature,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk06,Flawless Wear Foundation - Vanilla,foundation,mature,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk07,Flawless Wear Foundation - Sand,foundation,teen,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk07,Flawless Wear Foundation - Sand,foundation,teen,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk07,Flawless Wear Foundation - Sand,foundation,teen,acne_prone,comedogenic_ingredient_present,elevated,Contains ingredient(s) with a history of pore-clogging/breakout potential; relevant for acne-prone skin specifically.
mk07,Flawless Wear Foundation - Sand,foundation,teen,acne_prone,comedogenic_teen_note,standard,Contains pore-clogging-prone ingredients; worth knowing since acne is common in the teen years.
mk07,Flawless Wear Foundation - Sand,foundation,teen,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk07,Flawless Wear Foundation - Sand,foundation,teen,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk07,Flawless Wear Foundation - Sand,foundation,teen,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk07,Flawless Wear Foundation - Sand,foundation,teen,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk07,Flawless Wear Foundation - Sand,foundation,teen,none,comedogenic_teen_note,standard,Contains pore-clogging-prone ingredients; worth knowing since acne is common in the teen years.
mk07,Flawless Wear Foundation - Sand,foundation,adult,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk07,Flawless Wear Foundation - Sand,foundation,adult,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk07,Flawless Wear Foundation - Sand,foundation,adult,acne_prone,comedogenic_ingredient_present,elevated,Contains ingredient(s) with a history of pore-clogging/breakout potential; relevant for acne-prone skin specifically.
mk07,Flawless Wear Foundation - Sand,foundation,adult,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk07,Flawless Wear Foundation - Sand,foundation,adult,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk07,Flawless Wear Foundation - Sand,foundation,adult,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk07,Flawless Wear Foundation - Sand,foundation,adult,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk07,Flawless Wear Foundation - Sand,foundation,mature,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk07,Flawless Wear Foundation - Sand,foundation,mature,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk07,Flawless Wear Foundation - Sand,foundation,mature,acne_prone,comedogenic_ingredient_present,elevated,Contains ingredient(s) with a history of pore-clogging/breakout potential; relevant for acne-prone skin specifically.
mk07,Flawless Wear Foundation - Sand,foundation,mature,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk07,Flawless Wear Foundation - Sand,foundation,mature,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk07,Flawless Wear Foundation - Sand,foundation,mature,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk07,Flawless Wear Foundation - Sand,foundation,mature,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk09,Flawless Wear Foundation - Caramel,foundation,teen,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk09,Flawless Wear Foundation - Caramel,foundation,teen,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk09,Flawless Wear Foundation - Caramel,foundation,teen,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk09,Flawless Wear Foundation - Caramel,foundation,teen,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk09,Flawless Wear Foundation - Caramel,foundation,teen,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk09,Flawless Wear Foundation - Caramel,foundation,teen,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk09,Flawless Wear Foundation - Caramel,foundation,adult,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk09,Flawless Wear Foundation - Caramel,foundation,adult,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk09,Flawless Wear Foundation - Caramel,foundation,adult,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk09,Flawless Wear Foundation - Caramel,foundation,adult,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk09,Flawless Wear Foundation - Caramel,foundation,adult,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk09,Flawless Wear Foundation - Caramel,foundation,adult,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk09,Flawless Wear Foundation - Caramel,foundation,mature,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk09,Flawless Wear Foundation - Caramel,foundation,mature,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk09,Flawless Wear Foundation - Caramel,foundation,mature,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk09,Flawless Wear Foundation - Caramel,foundation,mature,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk09,Flawless Wear Foundation - Caramel,foundation,mature,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk09,Flawless Wear Foundation - Caramel,foundation,mature,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk10,Flawless Wear Foundation - Almond,foundation,teen,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk10,Flawless Wear Foundation - Almond,foundation,teen,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk10,Flawless Wear Foundation - Almond,foundation,teen,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk10,Flawless Wear Foundation - Almond,foundation,teen,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk10,Flawless Wear Foundation - Almond,foundation,teen,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk10,Flawless Wear Foundation - Almond,foundation,teen,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk10,Flawless Wear Foundation - Almond,foundation,adult,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk10,Flawless Wear Foundation - Almond,foundation,adult,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk10,Flawless Wear Foundation - Almond,foundation,adult,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk10,Flawless Wear Foundation - Almond,foundation,adult,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk10,Flawless Wear Foundation - Almond,foundation,adult,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk10,Flawless Wear Foundation - Almond,foundation,adult,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk10,Flawless Wear Foundation - Almond,foundation,mature,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk10,Flawless Wear Foundation - Almond,foundation,mature,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk10,Flawless Wear Foundation - Almond,foundation,mature,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk10,Flawless Wear Foundation - Almond,foundation,mature,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk10,Flawless Wear Foundation - Almond,foundation,mature,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk10,Flawless Wear Foundation - Almond,foundation,mature,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk12,Flawless Wear Foundation - Cocoa,foundation,teen,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk12,Flawless Wear Foundation - Cocoa,foundation,teen,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk12,Flawless Wear Foundation - Cocoa,foundation,teen,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk12,Flawless Wear Foundation - Cocoa,foundation,teen,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk12,Flawless Wear Foundation - Cocoa,foundation,teen,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk12,Flawless Wear Foundation - Cocoa,foundation,teen,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk12,Flawless Wear Foundation - Cocoa,foundation,adult,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk12,Flawless Wear Foundation - Cocoa,foundation,adult,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk12,Flawless Wear Foundation - Cocoa,foundation,adult,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk12,Flawless Wear Foundation - Cocoa,foundation,adult,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk12,Flawless Wear Foundation - Cocoa,foundation,adult,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk12,Flawless Wear Foundation - Cocoa,foundation,adult,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk12,Flawless Wear Foundation - Cocoa,foundation,mature,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk12,Flawless Wear Foundation - Cocoa,foundation,mature,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk12,Flawless Wear Foundation - Cocoa,foundation,mature,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk12,Flawless Wear Foundation - Cocoa,foundation,mature,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk12,Flawless Wear Foundation - Cocoa,foundation,mature,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk12,Flawless Wear Foundation - Cocoa,foundation,mature,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk14,Bright Eyes Concealer - Nude,concealer,teen,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk14,Bright Eyes Concealer - Nude,concealer,teen,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk14,Bright Eyes Concealer - Nude,concealer,teen,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk14,Bright Eyes Concealer - Nude,concealer,teen,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk14,Bright Eyes Concealer - Nude,concealer,teen,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk14,Bright Eyes Concealer - Nude,concealer,teen,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk14,Bright Eyes Concealer - Nude,concealer,adult,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk14,Bright Eyes Concealer - Nude,concealer,adult,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk14,Bright Eyes Concealer - Nude,concealer,adult,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk14,Bright Eyes Concealer - Nude,concealer,adult,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk14,Bright Eyes Concealer - Nude,concealer,adult,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk14,Bright Eyes Concealer - Nude,concealer,adult,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk14,Bright Eyes Concealer - Nude,concealer,mature,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk14,Bright Eyes Concealer - Nude,concealer,mature,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk14,Bright Eyes Concealer - Nude,concealer,mature,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk14,Bright Eyes Concealer - Nude,concealer,mature,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk14,Bright Eyes Concealer - Nude,concealer,mature,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk14,Bright Eyes Concealer - Nude,concealer,mature,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk15,Bright Eyes Concealer - Beige,concealer,teen,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk15,Bright Eyes Concealer - Beige,concealer,teen,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk15,Bright Eyes Concealer - Beige,concealer,teen,acne_prone,comedogenic_ingredient_present,elevated,Contains ingredient(s) with a history of pore-clogging/breakout potential; relevant for acne-prone skin specifically.
mk15,Bright Eyes Concealer - Beige,concealer,teen,acne_prone,comedogenic_teen_note,standard,Contains pore-clogging-prone ingredients; worth knowing since acne is common in the teen years.
mk15,Bright Eyes Concealer - Beige,concealer,teen,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk15,Bright Eyes Concealer - Beige,concealer,teen,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk15,Bright Eyes Concealer - Beige,concealer,teen,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk15,Bright Eyes Concealer - Beige,concealer,teen,none,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk15,Bright Eyes Concealer - Beige,concealer,teen,none,comedogenic_teen_note,standard,Contains pore-clogging-prone ingredients; worth knowing since acne is common in the teen years.
mk15,Bright Eyes Concealer - Beige,concealer,adult,sensitive,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk15,Bright Eyes Concealer - Beige,concealer,adult,acne_prone,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk15,Bright Eyes Concealer - Beige,concealer,adult,acne_prone,comedogenic_ingredient_present,elevated,Contains ingredient(s) with a history of pore-clogging/breakout potential; relevant for acne-prone skin specifically.
mk15,Bright Eyes Concealer - Beige,concealer,adult,eczema,fragrance_or_sensitizer_present,elevated,Contains ingredient(s) recognised as common contact allergens. Higher relevance for sensitive/eczema-prone skin.
mk15,Bright Eyes Concealer - Beige,concealer,adult,rosacea,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
mk15,Bright Eyes Concealer - Beige,concealer,adult,pregnancy,fragrance_or_sensitizer_present,standard,Contains ingredient(s) recognised as common contact allergens.
